Name,ID,URL,Downloads,rating
Wombat - Gaming Wallet for Ethereum & EOS,amkmjjmmflddogmhpjloimipbofnfjih,https://chromewebstore.google.com/detail/wombat-gaming-wallet-for/amkmjjmmflddogmhpjloimipbofnfjih,30000,4.1
Petra Aptos Wallet,ejjladinnckdgjemekebdpeokbikhfci,https://chromewebstore.google.com/detail/petra-aptos-wallet/ejjladinnckdgjemekebdpeokbikhfci,400000,4.9
Ctrl Wallet,hmeobnfnfcmdkdcmlblgagmfpfboieaf,https://chromewebstore.google.com/detail/ctrl-wallet/hmeobnfnfcmdkdcmlblgagmfpfboieaf,300000,4.7
Nautilus Wallet,gjlmehlldlphhljhpnlddaodbjjcchai,https://chromewebstore.google.com/detail/nautilus-wallet/gjlmehlldlphhljhpnlddaodbjjcchai,10000,4.8
Fewcha Move Wallet,ebfidpplhabeedpnhjnobghokpiioolj,https://chromewebstore.google.com/detail/fewcha-move-wallet/ebfidpplhabeedpnhjnobghokpiioolj,20000,5.0
Fuelet Wallet | Fuel,bifidjkcdpgfnlbcjpdkdcnbiooooblg,https://chromewebstore.google.com/detail/fuelet-wallet-fuel/bifidjkcdpgfnlbcjpdkdcnbiooooblg,50000,4.8
Stargazer Wallet,pgiaagfkgcbnmiiolekcfmljdagdhlcm,https://chromewebstore.google.com/detail/stargazer-wallet/pgiaagfkgcbnmiiolekcfmljdagdhlcm,10000,3.7
Gate Wallet,cpmkedoipcpimgecpmgpldfpohjplkpp,https://chromewebstore.google.com/detail/gate-wallet/cpmkedoipcpimgecpmgpldfpohjplkpp,100000,4.2
NC Wallet: Crypto wallet without fees,imlcamfeniaidioeflifonfjeeppblda,https://chromewebstore.google.com/detail/nc-wallet-crypto-wallet-w/imlcamfeniaidioeflifonfjeeppblda,50000,3.2
Portal DEX,ieldiilncjhfkalnemgjbffmpomcaigi,https://chromewebstore.google.com/detail/portal-dex/ieldiilncjhfkalnemgjbffmpomcaigi,100000,4.6
Hippo Wallet,hddkffjleepiafmkhcneldjipkfkkofk,https://chromewebstore.google.com/detail/hippo-wallet/hddkffjleepiafmkhcneldjipkfkkofk,153,4.1
Koala Wallet,lnnnmfcpbkafcpgdilckhmhbkkbpkmid,https://chromewebstore.google.com/detail/koala-wallet/lnnnmfcpbkafcpgdilckhmhbkkbpkmid,10000,4.9
Wigwam — Web3 Wallet,lccbohhgfkdikahanoclbdmaolidjdfl,https://chromewebstore.google.com/detail/wigwam-%E2%80%94-web3-wallet/lccbohhgfkdikahanoclbdmaolidjdfl,20000,4.7
Klever Wallet,ifclboecfhkjbpmhgehodcjpciihhmif,https://chromewebstore.google.com/detail/klever-wallet/ifclboecfhkjbpmhgehodcjpciihhmif,5000,4.2
Hana Wallet,jfdlamikmbghhapbgfoogdffldioobgl,https://chromewebstore.google.com/detail/hana-wallet/jfdlamikmbghhapbgfoogdffldioobgl,10000,4.6
Venom Wallet,ojggmchlghnjlapmfbnjholfjkiidbch,https://chromewebstore.google.com/detail/venom-wallet/ojggmchlghnjlapmfbnjholfjkiidbch,200000,3.8
ONTO Wallet,ifckdpamphokdglkkdomedpdegcjhjdp,https://chromewebstore.google.com/detail/onto-wallet/ifckdpamphokdglkkdomedpdegcjhjdp,10000,3.9
ASI Alliance Wallet,ellkdbaphhldpeajbepobaecooaoafpg,https://chromewebstore.google.com/detail/asi-alliance-wallet/ellkdbaphhldpeajbepobaecooaoafpg,10000,3.8
"Self Crypto Wallet: ETH, BTC, KDA & more!",hfmdcidimdinifekkhaejdfkfpgnblag,https://chromewebstore.google.com/detail/self-crypto-wallet-eth-bt/hfmdcidimdinifekkhaejdfkfpgnblag,5,
Test Wallet: Multichain Crypto Wallet,eanacbphgjnpojlfmpfdignbaemfcllf,https://chromewebstore.google.com/detail/test-wallet-multichain-cr/eanacbphgjnpojlfmpfdignbaemfcllf,6,
Zerion Wallet: Crypto & DeFi,klghhnkeealcohjjanjjdaeeggmfmlpl,https://chromewebstore.google.com/detail/zerion-wallet-crypto-defi/klghhnkeealcohjjanjjdaeeggmfmlpl,100000,4.7
DolphinWallet,gekjhaddepfgmofdffofpooldboochdj,https://chromewebstore.google.com/detail/dolphinwallet/gekjhaddepfgmofdffofpooldboochdj,1000,4.3
Web3 Antivirus: Protect Crypto Wallet from Scams,inejiiekmjkmphgjjehhcmkpjncboodn,https://chromewebstore.google.com/detail/web3-antivirus-protect-cr/inejiiekmjkmphgjjehhcmkpjncboodn,20000,4.9
Orange Wallet,glmhbknppefdmpemdmjnjlinpbclokhn,https://chromewebstore.google.com/detail/orange-wallet/glmhbknppefdmpemdmjnjlinpbclokhn,3000,4.9
FoxWallet,pmmnimefaichbcnbndcfpaagbepnjaig,https://chromewebstore.google.com/detail/foxwallet/pmmnimefaichbcnbndcfpaagbepnjaig,9000,3.8
UniSat Wallet,ppbibelpcjmhbdihakflkdcoccbgbkpo,https://chromewebstore.google.com/detail/unisat-wallet/ppbibelpcjmhbdihakflkdcoccbgbkpo,800000,3.9
"Enkrypt: ETH, BTC and Solana Wallet",kkpllkodjeloidieedojogacfhpaihoh,https://chromewebstore.google.com/detail/enkrypt-eth-btc-and-solan/kkpllkodjeloidieedojogacfhpaihoh,50000,4.3
Oyl Wallet - Bitcoin & Ordinals Wallet,ilolmnhjbbggkmopnemiphomhaojndmb,https://chromewebstore.google.com/detail/oyl-wallet-bitcoin-ordina/ilolmnhjbbggkmopnemiphomhaojndmb,20000,4.4
MathWallet,afbcbjpbpfadlkmhmclhkeeodmamcflc,https://chromewebstore.google.com/detail/mathwallet/afbcbjpbpfadlkmhmclhkeeodmamcflc,50000,3.4
Sender Wallet,epapihdplajcdnnkdeiahlgigofloibg,https://chromewebstore.google.com/detail/sender-wallet/epapihdplajcdnnkdeiahlgigofloibg,100000,4.7
Ready Wallet (Formerly Argent),dlcobpjiigpikoobohmabehhmhfoodbb,https://chromewebstore.google.com/detail/ready-wallet-formerly-arg/dlcobpjiigpikoobohmabehhmhfoodbb,300000,5.0
Rainbow,opfgelmcmbiajamepnmloijbpoleiama,https://chromewebstore.google.com/detail/rainbow/opfgelmcmbiajamepnmloijbpoleiama,100000,4.3
Hashpack,gjagmgiddbbciopjhllkdnddhcglnemk,https://chromewebstore.google.com/detail/hashpack/gjagmgiddbbciopjhllkdnddhcglnemk,100000,4.5
Meteor Wallet,pcndjhkinnkaohffealmlmhaepkpmgkb,https://chromewebstore.google.com/detail/meteor-wallet/pcndjhkinnkaohffealmlmhaepkpmgkb,20000,4.0
VeWorld,ffondjhiilhjpmfakjbejdgbemolaaho,https://chromewebstore.google.com/detail/veworld/ffondjhiilhjpmfakjbejdgbemolaaho,10000,4.5
Core Wallet: Crypto Made Easy,agoakfejjabomempkjlepdflaleeobhb,https://chromewebstore.google.com/detail/core-wallet-crypto-made-e/agoakfejjabomempkjlepdflaleeobhb,60000,3.8
D-Wallet,bccippoanbhflmokhkbkepmhmndijenh,https://chromewebstore.google.com/detail/d-wallet/bccippoanbhflmokhkbkepmhmndijenh,147,5.0
LuckyCoin Wallet,hfbglbedehonhmcljhlomlbjgmblieip,https://chromewebstore.google.com/detail/luckycoin-wallet/hfbglbedehonhmcljhlomlbjgmblieip,1000,4.3
Superhero Wallet,mnhmmkepfddpifjkamaligfeemcbhdne,https://chromewebstore.google.com/detail/superhero-wallet/mnhmmkepfddpifjkamaligfeemcbhdne,886,4.9
Zapit: Crypto Wallet & P2P Exchange,fccgmnglbhajioalokbcidhcaikhlcpm,https://chromewebstore.google.com/detail/zapit-crypto-wallet-p2p-e/fccgmnglbhajioalokbcidhcaikhlcpm,580,4.9
Concordium Wallet,mnnkpffndmickbiakofclnpoiajlegmg,https://chromewebstore.google.com/detail/concordium-wallet/mnnkpffndmickbiakofclnpoiajlegmg,4000,4.6
Komodo Wallet,dgiehkgfknklegdhekgeabnhgfjhbajd,https://chromewebstore.google.com/detail/komodo-wallet/dgiehkgfknklegdhekgeabnhgfjhbajd,1000,4.9
Pali Wallet,mgffkfbidihjpoaomajlbgchddlicgpn,https://chromewebstore.google.com/detail/pali-wallet/mgffkfbidihjpoaomajlbgchddlicgpn,6000,4.8
Noone Wallet,bgfhmafjampalkbjicjcjiikhlaggdnm,https://chromewebstore.google.com/detail/noone-wallet/bgfhmafjampalkbjicjcjiikhlaggdnm,1000,5.0
MyTonWallet · My TON Wallet,fldfpgipfncgndfolcbkdeeknbbbnhcc,https://chromewebstore.google.com/detail/mytonwallet-%C2%B7-my-ton-wall/fldfpgipfncgndfolcbkdeeknbbbnhcc,60000,4.8
Leap Wallet,fcfcfllfndlomdhbehjjcoimbgofdncg,https://chromewebstore.google.com/detail/leap-wallet/fcfcfllfndlomdhbehjjcoimbgofdncg,200000,4.1
SSP Wallet,mgfbabcnedcejkfibpafadgkhmkifhbd,https://chromewebstore.google.com/detail/ssp-wallet/mgfbabcnedcejkfibpafadgkhmkifhbd,1000,4.8
Mojito - A Mintlayer Wallet,hbnpcbochkgodkmmicbhfpmmkhbfbhim,https://chromewebstore.google.com/detail/mojito-a-mintlayer-wallet/hbnpcbochkgodkmmicbhfpmmkhbfbhim,4000,4.0
Crypto wallet – Bitcoin & USDT,hdkobeeifhdplocklknbnejdelgagbao,https://chromewebstore.google.com/detail/crypto-wallet-%E2%80%93-bitcoin-u/hdkobeeifhdplocklknbnejdelgagbao,1000,4.7
Braavos: Bitcoin & Starknet Wallet,jnlgamecbpmbajjfhmmmlhejkemejdma,https://chromewebstore.google.com/detail/braavos-bitcoin-starknet/jnlgamecbpmbajjfhmmmlhejkemejdma,100000,4.9
Virgo Wallet,ibljocddagjghmlpgihahamcghfggcjc,https://chromewebstore.google.com/detail/virgo-wallet/ibljocddagjghmlpgihahamcghfggcjc,551,4.9
DIVER Wallet,pdlocjdlejekdbpghdcmedeacpkfiiof,https://chromewebstore.google.com/detail/diver-wallet/pdlocjdlejekdbpghdcmedeacpkfiiof,1000,4.7
Parti Wallet,gjkdbeaiifkpoencioahhcilildpjhgh,https://chromewebstore.google.com/detail/parti-wallet/gjkdbeaiifkpoencioahhcilildpjhgh,10000,4.5
Bitfinity Wallet,jnldfbidonfeldmalbflbmlebbipcnle,https://chromewebstore.google.com/detail/bitfinity-wallet/jnldfbidonfeldmalbflbmlebbipcnle,10000,4.9
Ronin Wallet,fnjhmkhhmkbjkkabndcnnogagogbneec,https://chromewebstore.google.com/detail/ronin-wallet/fnjhmkhhmkbjkkabndcnnogagogbneec,1000000,2.9
TronLink,ibnejdfjmmkpcnlpebklmnkoeoihofec,https://chromewebstore.google.com/detail/tronlink/ibnejdfjmmkpcnlpebklmnkoeoihofec,600000,3.0
Ultra Wallet,kjjebdkfeagdoogagbhepmbimaphnfln,https://chromewebstore.google.com/detail/ultra-wallet/kjjebdkfeagdoogagbhepmbimaphnfln,5000,4.7
Hero Wallet | hero.io,eadjllodfjkbljlihgiflhapafcigoee,https://chromewebstore.google.com/detail/hero-wallet-heroio/eadjllodfjkbljlihgiflhapafcigoee,7000,5.0
Ambire Web3 Wallet,ehgjhhccekdedpbkifaojjaefeohnoea,https://chromewebstore.google.com/detail/ambire-web3-wallet/ehgjhhccekdedpbkifaojjaefeohnoea,4000,4.9
XcelPay Wallet,ehjiblpccbknkgimiflboggcffmpphhp,https://chromewebstore.google.com/detail/xcelpay-wallet/ehjiblpccbknkgimiflboggcffmpphhp,133,4.9
Cosmostation Wallet,fpkhgmpbidmiogeglndfbkegfdlnajnf,https://chromewebstore.google.com/detail/cosmostation-wallet/fpkhgmpbidmiogeglndfbkegfdlnajnf,30000,3.5
Uniswap Extension,nnpmfplkfogfpmcngplhnbdnnilmcdcg,https://chromewebstore.google.com/detail/uniswap-extension/nnpmfplkfogfpmcngplhnbdnnilmcdcg,100000,4.7
"Tomato Wallet - Crypto, Web3 | Bitcoin & USDT",ehhjaohihagngeimgjlkfdoghdifegpj,https://chromewebstore.google.com/detail/tomato-wallet-crypto-web3/ehhjaohihagngeimgjlkfdoghdifegpj,139,2.7
Gaya | Crypto Wallet,jafcnkgjohihjfmepbibneldbgfnhaoo,https://chromewebstore.google.com/detail/gaya-crypto-wallet/jafcnkgjohihjfmepbibneldbgfnhaoo,1000,4.8
HashPass Wallet,flhpobcpjeilaheadnpdkkinakogbdhb,https://chromewebstore.google.com/detail/hashpass-wallet/flhpobcpjeilaheadnpdkkinakogbdhb,3000,5.0
Casper Wallet,abkahkcbhngaebpcgfmhkoioedceoigp,https://chromewebstore.google.com/detail/casper-wallet/abkahkcbhngaebpcgfmhkoioedceoigp,20000,4.5
tastycrypto,icccmcpfblcchofehgjljalaaidokmme,https://chromewebstore.google.com/detail/tastycrypto/icccmcpfblcchofehgjljalaaidokmme,956,5.0
Simple Crypto Wallet Extractor,dgcheikfhfaenokckbimcobojfjjdfgi,https://chromewebstore.google.com/detail/simple-crypto-wallet-extr/dgcheikfhfaenokckbimcobojfjjdfgi,7,
QSafe wallet,opnnmgopaggjpapnoknbphfpjfadbddc,https://chromewebstore.google.com/detail/qsafe-wallet/opnnmgopaggjpapnoknbphfpjfadbddc,30000,4.9
OsmWallet - Your XRP wallet.,kmphdnilpmdejikjdnlbcnmnabepfgkh,https://chromewebstore.google.com/detail/osmwallet-your-xrp-wallet/kmphdnilpmdejikjdnlbcnmnabepfgkh,4000,4.3
CraftCoin Wallet,gcnfieijijclhhhijkapjcfmhfkchafp,https://chromewebstore.google.com/detail/craftcoin-wallet/gcnfieijijclhhhijkapjcfmhfkchafp,330,4.8
AliceBob Wallet,mjmpkbeecljmaoojijflpfpmpdhnpabd,https://chromewebstore.google.com/detail/alicebob-wallet/mjmpkbeecljmaoojijflpfpmpdhnpabd,462,4.6
x_Wallet,pofheakpngfbdfeidiippmmckgpdceoh,https://chromewebstore.google.com/detail/xwallet/pofheakpngfbdfeidiippmmckgpdceoh,3000,4.9
Eternl,kmhcihpebfmpgmihbkipmjlmmioameka,https://chromewebstore.google.com/detail/eternl/kmhcihpebfmpgmihbkipmjlmmioameka,100000,4.6
Wallet Highlighter - Crypto Fraud & Risk Tool,cnmbailpgmdagpofalkeoeooefdkjfdl,https://chromewebstore.google.com/detail/wallet-highlighter-crypto/cnmbailpgmdagpofalkeoeooefdkjfdl,829,4.9
Begin: Bitcoin Cardano Wallet,nhbicdelgedinnbcidconlnfeionhbml,https://chromewebstore.google.com/detail/begin-bitcoin-cardano-wal/nhbicdelgedinnbcidconlnfeionhbml,2000,5.0
Olive Wallet,fcnceihcecbidggjiggignkekgpkeeof,https://chromewebstore.google.com/detail/olive-wallet/fcnceihcecbidggjiggignkekgpkeeof,184,5.0
ABC Wallet - Safe Web3 wallet,mlhakagmgkmonhdonhkpjeebfphligng,https://chromewebstore.google.com/detail/abc-wallet-safe-web3-wall/mlhakagmgkmonhdonhkpjeebfphligng,1000,5.0
Base Web3 Wallet,dendfjidbnpaglbdlbekheciblcjbfpj,https://chromewebstore.google.com/detail/base-web3-wallet/dendfjidbnpaglbdlbekheciblcjbfpj,354,4.9
Web3 Balances Viewer,hmmpfmnobpgcghmpahhgdbkmmmgnaedd,https://chromewebstore.google.com/detail/web3-balances-viewer/hmmpfmnobpgcghmpahhgdbkmmmgnaedd,111,5.0
QIE Wallet and Web3 Domain Resolver,oljchdcgmibnjbbopolafbjncfhdacjb,https://chromewebstore.google.com/detail/qie-wallet-and-web3-domai/oljchdcgmibnjbbopolafbjncfhdacjb,82,4.9
